id,COUNTRY,YEAR,WEEK,Week.Sus.Cases,Incidence.sus.cases,Cum.sus.cases,Week.conf.cases,Incidence.conf.cases,Cum.conf.cases,Week.import.cases,Cum.import.cases,Week.deaths,Cum.deaths,Population,Source
465,Guadeloupe,2013,51,21,4.5064,21,1,0.2146,1,0,0,0,0,466000,ARS
467,Martinique,2013,51,27,6.6832,27,1,0.2475,3,0,0,0,0,404000,ARS
469,Saint Barthelemy,2013,51,11,122.2222,11,0,0,0,0,0,0,0,9000,ARS
470,Saint-Martin,2013,51,45,125,167,25,69.4444,63,0,0,0,0,36000,ARS
489,French Guiana,2013,51,0,0,0,0,0,0,0,1,0,0,249000,ARS
501,Bermuda,2013,52,0,0,0,0,0,0,0,0,0,0,69000,PAHO
502,Canada,2013,52,0,0,0,0,0,0,0,0,0,0,35182000,PAHO
503,Mexico,2013,52,0,0,0,0,0,0,0,0,0,0,118129000,PAHO
504,United States,2013,52,0,0,0,0,0,0,0,0,0,0,320051000,PAHO
505,Belize,2013,52,0,0,0,0,0,0,0,0,0,0,322000,PAHO
506,Costa Rica,2013,52,0,0,0,0,0,0,0,0,0,0,4872000,PAHO
507,El Salvador,2013,52,0,0,0,0,0,0,0,0,0,0,6340000,PAHO
508,Guatemala,2013,52,0,0,0,0,0,0,0,0,0,0,15468000,PAHO
509,Honduras,2013,52,0,0,0,0,0,0,0,0,0,0,8098000,PAHO
510,Nicaragua,2013,52,0,0,0,0,0,0,0,0,0,0,6080000,PAHO
511,Panama,2013,52,0,0,0,0,0,0,0,0,0,0,3864000,PAHO
512,Cuba,2013,52,0,0,0,0,0,0,0,0,0,0,11266000,PAHO
513,Dominican Republic,2013,52,0,0,0,0,0,0,0,0,0,0,10404000,PAHO
514,French Guiana,2013,52,0,0,0,0,0,0,1,1,0,0,249000,PAHO
515,Guadeloupe,2013,52,-21,-4.5064,0,2,0.4292,3,0,0,0,0,466000,PAHO
516,Haiti,2013,52,0,0,0,0,0,0,0,0,0,0,10317000,PAHO
517,Martinique,2013,52,-27,-6.6832,0,5,1.2376,8,0,0,0,0,404000,PAHO
518,Puerto Rico,2013,52,0,0,0,0,0,0,0,0,0,0,3688000,PAHO
519,Saint Barthelemy,2013,52,-11,-122.2222,0,8,88.8889,8,1,1,0,0,9000,PAHO
520,Saint-Martin,2013,52,-167,-463.8889,0,26,72.2222,89,0,0,0,0,36000,PAHO
521,Bolivia,2013,52,0,0,0,0,0,0,0,0,0,0,10671000,PAHO
522,Colombia,2013,52,0,0,0,0,0,0,0,0,0,0,48321000,PAHO
523,Ecuador,2013,52,0,0,0,0,0,0,0,0,0,0,15738000,PAHO
524,Peru,2013,52,0,0,0,0,0,0,0,0,0,0,30376000,PAHO
525,Venezuela,2013,52,0,0,0,0,0,0,0,0,0,0,30405000,PAHO
526,Brazil,2013,52,0,0,0,0,0,0,0,0,0,0,191481000,PAHO
527,Chile,2013,52,0,0,0,0,0,0,0,0,0,0,4537000,PAHO
528,Paraguay,2013,52,0,0,0,0,0,0,0,0,0,0,6673000,PAHO
529,Argentina,2013,52,0,0,0,0,0,0,0,0,0,0,42669000,PAHO
530,Anguilla,2013,52,0,0,0,0,0,0,0,0,0,0,16000,PAHO
531,Antigua and Barbuda,2013,52,0,0,0,0,0,0,0,0,0,0,90000,PAHO
532,Aruba,2013,52,0,0,0,0,0,0,0,0,0,0,109000,PAHO
533,Bahamas,2013,52,0,0,0,0,0,0,0,0,0,0,377000,PAHO
534,Barbados,2013,52,0,0,0,0,0,0,0,0,0,0,289000,PAHO
535,Cayman Islands,2013,52,0,0,0,0,0,0,0,0,0,0,54000,PAHO
536,Curacao,2013,52,0,0,0,0,0,0,0,0,0,0,147000,PAHO
537,Dominica,2013,52,0,0,0,0,0,0,0,0,0,0,73000,PAHO
538,Grenada,2013,52,0,0,0,0,0,0,0,0,0,0,110000,PAHO
539,Guyana,2013,52,0,0,0,0,0,0,-1,0,0,0,800000,PAHO
540,Jamaica,2013,52,0,0,0,0,0,0,0,0,0,0,2784000,PAHO
541,Montserrat,2013,52,0,0,0,0,0,0,0,0,0,0,5000,PAHO
542,Saint Kitts and Nevis,2013,52,0,0,0,0,0,0,0,0,0,0,51000,PAHO
543,Saint Lucia,2013,52,0,0,0,0,0,0,0,0,0,0,163000,PAHO
544,Saint Vincent and the Grenadines,2013,52,0,0,0,0,0,0,0,0,0,0,103000,PAHO
545,Sint Maarten,2013,52,0,0,0,1,2.5,1,0,0,0,0,40000,PAHO
546,Suriname,2013,52,0,0,0,0,0,0,0,0,0,0,539000,PAHO
547,Trinidad and Tobago,2013,52,0,0,0,0,0,0,0,0,0,0,1341000,PAHO
548,Turks and Caicos Islands,2013,52,0,0,0,0,0,0,0,0,0,0,48000,PAHO
549,"Virgin Islands, U.S.",2013,52,0,0,0,0,0,0,0,0,0,0,105000,PAHO
550,British Virgin Islands,2013,52,0,0,0,0,0,0,0,0,0,0,32000,PAHO
551,Bermuda,2014,1,0,0,0,0,0,0,0,0,0,0,69000,PAHO
552,Canada,2014,1,0,0,0,0,0,0,0,0,0,0,35182000,PAHO
553,Mexico,2014,1,0,0,0,0,0,0,0,0,0,0,118129000,PAHO
554,United States,2014,1,0,0,0,0,0,0,0,0,0,0,320051000,PAHO
555,Belize,2014,1,0,0,0,0,0,0,0,0,0,0,322000,PAHO
556,Costa Rica,2014,1,0,0,0,0,0,0,0,0,0,0,4872000,PAHO
557,El Salvador,2014,1,0,0,0,0,0,0,0,0,0,0,6340000,PAHO
558,Guatemala,2014,1,0,0,0,0,0,0,0,0,0,0,15468000,PAHO
559,Honduras,2014,1,0,0,0,0,0,0,0,0,0,0,8098000,PAHO
560,Nicaragua,2014,1,0,0,0,0,0,0,0,0,0,0,6080000,PAHO
561,Panama,2014,1,0,0,0,0,0,0,0,0,0,0,3864000,PAHO
562,Cuba,2014,1,0,0,0,0,0,0,0,0,0,0,11266000,PAHO
563,Dominican Republic,2014,1,0,0,0,0,0,0,0,0,0,0,10404000,PAHO
564,French Guiana,2014,1,0,0,0,0,0,0,0,1,0,0,249000,PAHO
565,Guadeloupe,2014,1,0,0,0,7,1.5021,10,0,0,0,0,466000,PAHO
566,Haiti,2014,1,0,0,0,0,0,0,0,0,0,0,10317000,PAHO
567,Martinique,2014,1,0,0,0,40,9.901,48,0,0,0,0,404000,PAHO
568,Puerto Rico,2014,1,0,0,0,0,0,0,0,0,0,0,3688000,PAHO
569,Saint Barthelemy,2014,1,0,0,0,17,188.8889,25,-1,0,0,0,9000,PAHO
570,Saint-Martin,2014,1,0,0,0,112,311.1111,201,0,0,0,0,36000,PAHO
571,Bolivia,2014,1,0,0,0,0,0,0,0,0,0,0,10671000,PAHO
572,Colombia,2014,1,0,0,0,0,0,0,0,0,0,0,48321000,PAHO
573,Ecuador,2014,1,0,0,0,0,0,0,0,0,0,0,15738000,PAHO
574,Peru,2014,1,0,0,0,0,0,0,0,0,0,0,30376000,PAHO
575,Venezuela,2014,1,0,0,0,0,0,0,0,0,0,0,30405000,PAHO
576,Brazil,2014,1,0,0,0,0,0,0,0,0,0,0,191481000,PAHO
577,Chile,2014,1,0,0,0,0,0,0,0,0,0,0,4537000,PAHO
578,Paraguay,2014,1,0,0,0,0,0,0,0,0,0,0,6673000,PAHO
579,Argentina,2014,1,0,0,0,0,0,0,0,0,0,0,42669000,PAHO
580,Anguilla,2014,1,0,0,0,0,0,0,0,0,0,0,16000,PAHO
581,Antigua and Barbuda,2014,1,0,0,0,0,0,0,0,0,0,0,90000,PAHO
582,Aruba,2014,1,0,0,0,0,0,0,0,0,0,0,109000,PAHO
583,Bahamas,2014,1,0,0,0,0,0,0,0,0,0,0,377000,PAHO
584,Barbados,2014,1,0,0,0,0,0,0,0,0,0,0,289000,PAHO
585,Cayman Islands,2014,1,0,0,0,0,0,0,0,0,0,0,54000,PAHO
586,Curacao,2014,1,0,0,0,0,0,0,0,0,0,0,147000,PAHO
587,Dominica,2014,1,0,0,0,0,0,0,0,0,0,0,73000,PAHO
588,Grenada,2014,1,0,0,0,0,0,0,0,0,0,0,110000,PAHO
589,Guyana,2014,1,0,0,0,0,0,0,0,0,0,0,800000,PAHO
590,Jamaica,2014,1,0,0,0,0,0,0,0,0,0,0,2784000,PAHO
591,Montserrat,2014,1,0,0,0,0,0,0,0,0,0,0,5000,PAHO
592,Saint Kitts and Nevis,2014,1,0,0,0,0,0,0,0,0,0,0,51000,PAHO
593,Saint Lucia,2014,1,0,0,0,0,0,0,0,0,0,0,163000,PAHO
594,Saint Vincent and the Grenadines,2014,1,0,0,0,0,0,0,0,0,0,0,103000,PAHO
595,Sint Maarten,2014,1,0,0,0,0,0,1,0,0,0,0,40000,PAHO
596,Suriname,2014,1,0,0,0,0,0,0,0,0,0,0,539000,PAHO
597,Trinidad and Tobago,2014,1,0,0,0,0,0,0,0,0,0,0,1341000,PAHO
598,Turks and Caicos Islands,2014,1,0,0,0,0,0,0,0,0,0,0,48000,PAHO
599,"Virgin Islands, U.S.",2014,1,0,0,0,0,0,0,0,0,0,0,105000,PAHO
600,British Virgin Islands,2014,1,0,0,0,0,0,0,0,0,0,0,32000,PAHO
601,Bermuda,2014,2,0,0,0,0,0,0,0,0,0,0,69000,PAHO
602,Canada,2014,2,0,0,0,0,0,0,0,0,0,0,35182000,PAHO
603,Mexico,2014,2,0,0,0,0,0,0,0,0,0,0,118129000,PAHO
604,United States,2014,2,0,0,0,0,0,0,0,0,0,0,320051000,PAHO
605,Belize,2014,2,0,0,0,0,0,0,0,0,0,0,322000,PAHO
606,Costa Rica,2014,2,0,0,0,0,0,0,0,0,0,0,4872000,PAHO
607,El Salvador,2014,2,0,0,0,0,0,0,0,0,0,0,6340000,PAHO
608,Guatemala,2014,2,0,0,0,0,0,0,0,0,0,0,15468000,PAHO
609,Honduras,2014,2,0,0,0,0,0,0,0,0,0,0,8098000,PAHO
610,Nicaragua,2014,2,0,0,0,0,0,0,0,0,0,0,6080000,PAHO
611,Panama,2014,2,0,0,0,0,0,0,0,0,0,0,3864000,PAHO
612,Cuba,2014,2,0,0,0,0,0,0,0,0,0,0,11266000,PAHO
613,Dominican Republic,2014,2,0,0,0,0,0,0,0,0,0,0,10404000,PAHO
614,French Guiana,2014,2,0,0,0,0,0,0,0,1,0,0,249000,PAHO
615,Guadeloupe,2014,2,0,0,0,0,0,10,0,0,0,0,466000,PAHO
616,Haiti,2014,2,0,0,0,0,0,0,0,0,0,0,10317000,PAHO
617,Martinique,2014,2,0,0,0,0,0,48,0,0,0,0,404000,PAHO
618,Puerto Rico,2014,2,0,0,0,0,0,0,0,0,0,0,3688000,PAHO
619,Saint Barthelemy,2014,2,0,0,0,0,0,25,0,0,0,0,9000,PAHO
620,Saint-Martin,2014,2,0,0,0,0,0,201,0,0,0,0,36000,PAHO
621,Bolivia,2014,2,0,0,0,0,0,0,0,0,0,0,10671000,PAHO
622,Colombia,2014,2,0,0,0,0,0,0,0,0,0,0,48321000,PAHO
623,Ecuador,2014,2,0,0,0,0,0,0,0,0,0,0,15738000,PAHO
624,Peru,2014,2,0,0,0,0,0,0,0,0,0,0,30376000,PAHO
625,Venezuela,2014,2,0,0,0,0,0,0,0,0,0,0,30405000,PAHO
626,Brazil,2014,2,0,0,0,0,0,0,0,0,0,0,191481000,PAHO
627,Chile,2014,2,0,0,0,0,0,0,0,0,0,0,4537000,PAHO
628,Paraguay,2014,2,0,0,0,0,0,0,0,0,0,0,6673000,PAHO
629,Argentina,2014,2,0,0,0,0,0,0,0,0,0,0,42669000,PAHO
630,Anguilla,2014,2,0,0,0,0,0,0,0,0,0,0,16000,PAHO
631,Antigua and Barbuda,2014,2,0,0,0,0,0,0,0,0,0,0,90000,PAHO
632,Aruba,2014,2,0,0,0,0,0,0,0,0,0,0,109000,PAHO
633,Bahamas,2014,2,0,0,0,0,0,0,0,0,0,0,377000,PAHO
634,Barbados,2014,2,0,0,0,0,0,0,0,0,0,0,289000,PAHO
635,Cayman Islands,2014,2,0,0,0,0,0,0,0,0,0,0,54000,PAHO
636,Curacao,2014,2,0,0,0,0,0,0,0,0,0,0,147000,PAHO
637,Dominica,2014,2,0,0,0,0,0,0,0,0,0,0,73000,PAHO
638,Grenada,2014,2,0,0,0,0,0,0,0,0,0,0,110000,PAHO
639,Guyana,2014,2,0,0,0,0,0,0,0,0,0,0,800000,PAHO
640,Jamaica,2014,2,0,0,0,0,0,0,0,0,0,0,2784000,PAHO
641,Montserrat,2014,2,0,0,0,0,0,0,0,0,0,0,5000,PAHO
642,Saint Kitts and Nevis,2014,2,0,0,0,0,0,0,0,0,0,0,51000,PAHO
643,Saint Lucia,2014,2,0,0,0,0,0,0,0,0,0,0,163000,PAHO
644,Saint Vincent and the Grenadines,2014,2,0,0,0,0,0,0,0,0,0,0,103000,PAHO
645,Sint Maarten,2014,2,0,0,0,0,0,1,0,0,0,0,40000,PAHO
646,Suriname,2014,2,0,0,0,0,0,0,0,0,0,0,539000,PAHO
647,Trinidad and Tobago,2014,2,0,0,0,0,0,0,0,0,0,0,1341000,PAHO
648,Turks and Caicos Islands,2014,2,0,0,0,0,0,0,0,0,0,0,48000,PAHO
649,"Virgin Islands, U.S.",2014,2,0,0,0,0,0,0,0,0,0,0,105000,PAHO
650,British Virgin Islands,2014,2,0,0,0,0,0,0,0,0,0,0,32000,PAHO
651,Bermuda,2014,3,0,0,0,0,0,0,0,0,0,0,69000,PAHO
652,Canada,2014,3,0,0,0,0,0,0,0,0,0,0,35182000,PAHO
653,Mexico,2014,3,0,0,0,0,0,0,0,0,0,0,118129000,PAHO
654,United States,2014,3,0,0,0,0,0,0,0,0,0,0,320051000,PAHO
655,Belize,2014,3,0,0,0,0,0,0,0,0,0,0,322000,PAHO
656,Costa Rica,2014,3,0,0,0,0,0,0,0,0,0,0,4872000,PAHO
657,El Salvador,2014,3,0,0,0,0,0,0,0,0,0,0,6340000,PAHO
658,Guatemala,2014,3,0,0,0,0,0,0,0,0,0,0,15468000,PAHO
659,Honduras,2014,3,0,0,0,0,0,0,0,0,0,0,8098000,PAHO
660,Nicaragua,2014,3,0,0,0,0,0,0,0,0,0,0,6080000,PAHO
661,Panama,2014,3,0,0,0,0,0,0,0,0,0,0,3864000,PAHO
662,Cuba,2014,3,0,0,0,0,0,0,0,0,0,0,11266000,PAHO
663,Dominican Republic,2014,3,0,0,0,0,0,0,0,0,0,0,10404000,PAHO
664,French Guiana,2014,3,0,0,0,0,0,0,0,1,0,0,249000,PAHO
665,Guadeloupe,2014,3,0,0,0,16,3.4335,26,1,1,0,0,466000,PAHO
666,Haiti,2014,3,0,0,0,0,0,0,0,0,0,0,10317000,PAHO
667,Martinique,2014,3,0,0,0,79,19.5545,127,0,0,0,0,404000,PAHO
668,Puerto Rico,2014,3,0,0,0,0,0,0,0,0,0,0,3688000,PAHO
669,Saint Barthelemy,2014,3,0,0,0,5,55.5556,30,1,1,0,0,9000,PAHO
670,Saint-Martin,2014,3,0,0,0,93,258.3333,294,0,0,1,1,36000,PAHO
671,Bolivia,2014,3,0,0,0,0,0,0,0,0,0,0,10671000,PAHO
672,Colombia,2014,3,0,0,0,0,0,0,0,0,0,0,48321000,PAHO
673,Ecuador,2014,3,0,0,0,0,0,0,0,0,0,0,15738000,PAHO
674,Peru,2014,3,0,0,0,0,0,0,0,0,0,0,30376000,PAHO
675,Venezuela,2014,3,0,0,0,0,0,0,0,0,0,0,30405000,PAHO
676,Brazil,2014,3,0,0,0,0,0,0,0,0,0,0,191481000,PAHO
677,Chile,2014,3,0,0,0,0,0,0,0,0,0,0,4537000,PAHO
678,Paraguay,2014,3,0,0,0,0,0,0,0,0,0,0,6673000,PAHO
679,Argentina,2014,3,0,0,0,0,0,0,0,0,0,0,42669000,PAHO
680,Anguilla,2014,3,0,0,0,0,0,0,0,0,0,0,16000,PAHO
681,Antigua and Barbuda,2014,3,0,0,0,0,0,0,0,0,0,0,90000,PAHO
682,Aruba,2014,3,0,0,0,0,0,0,0,0,0,0,109000,PAHO
683,Bahamas,2014,3,0,0,0,0,0,0,0,0,0,0,377000,PAHO
684,Barbados,2014,3,0,0,0,0,0,0,0,0,0,0,289000,PAHO
685,Cayman Islands,2014,3,0,0,0,0,0,0,0,0,0,0,54000,PAHO
686,Curacao,2014,3,0,0,0,0,0,0,0,0,0,0,147000,PAHO
687,Dominica,2014,3,0,0,0,0,0,0,1,1,0,0,73000,PAHO
688,Grenada,2014,3,0,0,0,0,0,0,0,0,0,0,110000,PAHO
689,Guyana,2014,3,0,0,0,0,0,0,0,0,0,0,800000,PAHO
690,Jamaica,2014,3,0,0,0,0,0,0,0,0,0,0,2784000,PAHO
691,Montserrat,2014,3,0,0,0,0,0,0,0,0,0,0,5000,PAHO
692,Saint Kitts and Nevis,2014,3,0,0,0,0,0,0,0,0,0,0,51000,PAHO
693,Saint Lucia,2014,3,0,0,0,0,0,0,0,0,0,0,163000,PAHO
694,Saint Vincent and the Grenadines,2014,3,0,0,0,0,0,0,0,0,0,0,103000,PAHO
695,Sint Maarten,2014,3,0,0,0,8,20,9,0,0,0,0,40000,PAHO
696,Suriname,2014,3,0,0,0,0,0,0,0,0,0,0,539000,PAHO
697,Trinidad and Tobago,2014,3,0,0,0,0,0,0,0,0,0,0,1341000,PAHO
698,Turks and Caicos Islands,2014,3,0,0,0,0,0,0,0,0,0,0,48000,PAHO
699,"Virgin Islands, U.S.",2014,3,0,0,0,0,0,0,0,0,0,0,105000,PAHO
700,British Virgin Islands,2014,3,0,0,0,3,9.375,3,0,0,0,0,32000,PAHO
701,Bermuda,2014,4,0,0,0,0,0,0,0,0,0,0,69000,PAHO
702,Canada,2014,4,0,0,0,0,0,0,0,0,0,0,35182000,PAHO
703,Mexico,2014,4,0,0,0,0,0,0,0,0,0,0,118129000,PAHO
704,United States,2014,4,0,0,0,0,0,0,0,0,0,0,320051000,PAHO
705,Belize,2014,4,0,0,0,0,0,0,0,0,0,0,322000,PAHO
706,Costa Rica,2014,4,0,0,0,0,0,0,0,0,0,0,4872000,PAHO
707,El Salvador,2014,4,0,0,0,0,0,0,0,0,0,0,6340000,PAHO
708,Guatemala,2014,4,0,0,0,0,0,0,0,0,0,0,15468000,PAHO
709,Honduras,2014,4,0,0,0,0,0,0,0,0,0,0,8098000,PAHO
710,Nicaragua,2014,4,0,0,0,0,0,0,0,0,0,0,6080000,PAHO
711,Panama,2014,4,0,0,0,0,0,0,0,0,0,0,3864000,PAHO
712,Cuba,2014,4,0,0,0,0,0,0,0,0,0,0,11266000,PAHO
713,Dominican Republic,2014,4,0,0,0,0,0,0,0,0,0,0,10404000,PAHO
714,French Guiana,2014,4,0,0,0,0,0,0,1,2,0,0,249000,PAHO
715,Guadeloupe,2014,4,0,0,0,39,8.3691,65,2,3,0,0,466000,PAHO
716,Haiti,2014,4,0,0,0,0,0,0,0,0,0,0,10317000,PAHO
717,Martinique,2014,4,0,0,0,140,34.6535,267,0,0,0,0,404000,PAHO
718,Puerto Rico,2014,4,0,0,0,0,0,0,0,0,0,0,3688000,PAHO
719,Saint Barthelemy,2014,4,0,0,0,15,166.6667,45,-1,0,0,0,9000,PAHO
720,Saint-Martin,2014,4,0,0,0,99,275,393,0,0,-1,0,36000,PAHO
721,Bolivia,2014,4,0,0,0,0,0,0,0,0,0,0,10671000,PAHO
722,Colombia,2014,4,0,0,0,0,0,0,0,0,0,0,48321000,PAHO
723,Ecuador,2014,4,0,0,0,0,0,0,0,0,0,0,15738000,PAHO
724,Peru,2014,4,0,0,0,0,0,0,0,0,0,0,30376000,PAHO
725,Venezuela,2014,4,0,0,0,0,0,0,0,0,0,0,30405000,PAHO
726,Brazil,2014,4,0,0,0,0,0,0,0,0,0,0,191481000,PAHO
727,Chile,2014,4,0,0,0,0,0,0,0,0,0,0,4537000,PAHO
728,Paraguay,2014,4,0,0,0,0,0,0,0,0,0,0,6673000,PAHO
729,Argentina,2014,4,0,0,0,0,0,0,0,0,0,0,42669000,PAHO
730,Anguilla,2014,4,0,0,0,0,0,0,0,0,0,0,16000,PAHO
731,Antigua and Barbuda,2014,4,0,0,0,0,0,0,0,0,0,0,90000,PAHO
732,Aruba,2014,4,0,0,0,0,0,0,0,0,0,0,109000,PAHO
733,Bahamas,2014,4,0,0,0,0,0,0,0,0,0,0,377000,PAHO
734,Barbados,2014,4,0,0,0,0,0,0,0,0,0,0,289000,PAHO
735,Cayman Islands,2014,4,0,0,0,0,0,0,0,0,0,0,54000,PAHO
736,Curacao,2014,4,0,0,0,0,0,0,0,0,0,0,147000,PAHO
737,Dominica,2014,4,0,0,0,0,0,0,0,1,0,0,73000,PAHO
738,Grenada,2014,4,0,0,0,0,0,0,0,0,0,0,110000,PAHO
739,Guyana,2014,4,0,0,0,0,0,0,0,0,0,0,800000,PAHO
740,Jamaica,2014,4,0,0,0,0,0,0,0,0,0,0,2784000,PAHO
741,Montserrat,2014,4,0,0,0,0,0,0,0,0,0,0,5000,PAHO
742,Saint Kitts and Nevis,2014,4,0,0,0,0,0,0,0,0,0,0,51000,PAHO
743,Saint Lucia,2014,4,0,0,0,0,0,0,0,0,0,0,163000,PAHO
744,Saint Vincent and the Grenadines,2014,4,0,0,0,0,0,0,0,0,0,0,103000,PAHO
745,Sint Maarten,2014,4,0,0,0,2,5,11,0,0,0,0,40000,PAHO
746,Suriname,2014,4,0,0,0,0,0,0,0,0,0,0,539000,PAHO
747,Trinidad and Tobago,2014,4,0,0,0,0,0,0,0,0,0,0,1341000,PAHO
748,Turks and Caicos Islands,2014,4,0,0,0,0,0,0,0,0,0,0,48000,PAHO
749,"Virgin Islands, U.S.",2014,4,0,0,0,0,0,0,0,0,0,0,105000,PAHO
750,British Virgin Islands,2014,4,0,0,0,0,0,3,0,0,0,0,32000,PAHO
751,Bermuda,2014,5,0,0,0,0,0,0,0,0,0,0,69000,PAHO
752,Canada,2014,5,0,0,0,0,0,0,0,0,0,0,35182000,PAHO
753,Mexico,2014,5,0,0,0,0,0,0,0,0,0,0,118129000,PAHO
754,United States,2014,5,0,0,0,0,0,0,0,0,0,0,320051000,PAHO
755,Belize,2014,5,0,0,0,0,0,0,0,0,0,0,322000,PAHO
756,Costa Rica,2014,5,0,0,0,0,0,0,0,0,0,0,4872000,PAHO
757,El Salvador,2014,5,0,0,0,0,0,0,0,0,0,0,6340000,PAHO
758,Guatemala,2014,5,0,0,0,0,0,0,0,0,0,0,15468000,PAHO
759,Honduras,2014,5,0,0,0,0,0,0,0,0,0,0,8098000,PAHO
760,Nicaragua,2014,5,0,0,0,0,0,0,0,0,0,0,6080000,PAHO
761,Panama,2014,5,0,0,0,0,0,0,0,0,0,0,3864000,PAHO
762,Cuba,2014,5,0,0,0,0,0,0,0,0,0,0,11266000,PAHO
763,Dominican Republic,2014,5,0,0,0,0,0,0,0,0,0,0,10404000,PAHO
764,French Guiana,2014,5,0,0,0,0,0,0,2,4,0,0,249000,PAHO
765,Guadeloupe,2014,5,0,0,0,51,10.9442,116,0,3,0,0,466000,PAHO
766,Haiti,2014,5,0,0,0,0,0,0,0,0,0,0,10317000,PAHO
767,Martinique,2014,5,0,0,0,97,24.0099,364,0,0,0,0,404000,PAHO
768,Puerto Rico,2014,5,0,0,0,0,0,0,0,0,0,0,3688000,PAHO
769,Saint Barthelemy,2014,5,0,0,0,11,122.2222,56,0,0,0,0,9000,PAHO
770,Saint-Martin,2014,5,0,0,0,83,230.5556,476,0,0,1,1,36000,PAHO
771,Bolivia,2014,5,0,0,0,0,0,0,0,0,0,0,10671000,PAHO
772,Colombia,2014,5,0,0,0,0,0,0,0,0,0,0,48321000,PAHO
773,Ecuador,2014,5,0,0,0,0,0,0,0,0,0,0,15738000,PAHO
774,Peru,2014,5,0,0,0,0,0,0,0,0,0,0,30376000,PAHO
775,Venezuela,2014,5,0,0,0,0,0,0,0,0,0,0,30405000,PAHO
